2018-12-04 23:36:41.532493  

 Train one epoch   1 / 100
2018-12-04 23:47:55.364399  [Epoch 0] mean loss: 51.497056
2018-12-04 23:47:55.366285  [Epoch 0] heading rmse[deg]: 407.977859
2018-12-04 23:47:55.368150  [Epoch 0] class accuracy: 0.409138
2018-12-04 23:47:55.370015  [Epoch 0] avg class acc: 0.339577
2018-12-04 23:47:55.371819  [Epoch 0] indivisual [0] class recall: 0.491301
2018-12-04 23:47:55.373590  [Epoch 0] indivisual [0] class precision: 0.448520
2018-12-04 23:47:55.375281  [Epoch 0] indivisual [1] class recall: 0.398096
2018-12-04 23:47:55.377159  [Epoch 0] indivisual [1] class precision: 0.448671
2018-12-04 23:47:55.379106  [Epoch 0] indivisual [2] class recall: 0.129333
2018-12-04 23:47:55.380847  [Epoch 0] indivisual [2] class precision: 0.120037
2018-12-04 23:47:55.382457   Evaluation one (validation set) epoch   1 / 100
2018-12-04 23:48:42.729814  [Epoch 0] Validation mean loss: 6.548441
2018-12-04 23:48:42.731710  [Epoch 0] Validation heading rmse[deg]: 134.948011
2018-12-04 23:48:42.733488  [Epoch 0] Validation class accuracy: 0.504866
2018-12-04 23:48:42.735178  [Epoch 0] Validation avg class acc: 0.094314
2018-12-04 23:48:42.736686  [Epoch 0] Validation indivisual [0] class recall: 0.087610
2018-12-04 23:48:42.738216  [Epoch 0] Validation indivisual [0] class precision: 0.493455
2018-12-04 23:48:42.740030  [Epoch 0] Validation indivisual [1] class recall: 0.195334
2018-12-04 23:48:42.741896  [Epoch 0] Validation indivisual [1] class precision: 0.510045
2018-12-04 23:48:42.743661  [Epoch 0] Validation indivisual [2] class recall: 0.000000
2018-12-04 23:48:42.745442  

 Train one epoch   2 / 100
2018-12-04 23:59:54.216358  [Epoch 1] mean loss: 36.274030
2018-12-04 23:59:54.218186  [Epoch 1] heading rmse[deg]: 341.616819
2018-12-04 23:59:54.219849  [Epoch 1] class accuracy: 0.437382
2018-12-04 23:59:54.221682  [Epoch 1] avg class acc: 0.339892
2018-12-04 23:59:54.223351  [Epoch 1] indivisual [0] class recall: 0.494200
2018-12-04 23:59:54.224998  [Epoch 1] indivisual [0] class precision: 0.449906
2018-12-04 23:59:54.226941  [Epoch 1] indivisual [1] class recall: 0.478698
2018-12-04 23:59:54.228992  [Epoch 1] indivisual [1] class precision: 0.453459
2018-12-04 23:59:54.230677  [Epoch 1] indivisual [2] class recall: 0.046778
2018-12-04 23:59:54.232440  [Epoch 1] indivisual [2] class precision: 0.120769
2018-12-04 23:59:54.234163   Evaluation one (validation set) epoch   2 / 100
2018-12-05 00:00:40.978075  [Epoch 1] Validation mean loss: 8.085046
2018-12-05 00:00:40.980069  [Epoch 1] Validation heading rmse[deg]: 121.456888
2018-12-05 00:00:40.981873  [Epoch 1] Validation class accuracy: 0.527897
2018-12-05 00:00:40.983980  [Epoch 1] Validation avg class acc: 0.099739
2018-12-05 00:00:40.985969  [Epoch 1] Validation indivisual [0] class recall: 0.072824
2018-12-05 00:00:40.987868  [Epoch 1] Validation indivisual [0] class precision: 0.681899
2018-12-05 00:00:40.989697  [Epoch 1] Validation indivisual [1] class recall: 0.221390
2018-12-05 00:00:40.991415  [Epoch 1] Validation indivisual [1] class precision: 0.491392
2018-12-05 00:00:40.993149  [Epoch 1] Validation indivisual [2] class recall: 0.005001
2018-12-05 00:00:40.994907  [Epoch 1] Validation indivisual [2] class precision: 0.731707
2018-12-05 00:00:40.996646  

 Train one epoch   3 / 100
2018-12-05 00:11:52.607489  [Epoch 2] mean loss: 29.067209
2018-12-05 00:11:52.609426  [Epoch 2] heading rmse[deg]: 305.463815
2018-12-05 00:11:52.611148  [Epoch 2] class accuracy: 0.438522
